"","Country","Dif"
"121","Austria",-11.1142580660388
"122","Australia",-59.9420928817017
"123","Germany",-21.9491763274208
"124","Canada",-20.2376618167553
"125","Denmark",-13.7153798603887
"126","Finland",3.60024878167836
"127","France",-26.5447066969924
"128","Ireland",-13.3352796916968
"129","Italy",-21.5852373975369
"130","Netherlands",-15.5323606296001
"131","Norway",-25.4580936729663
"132","Spain",-45.4180450636668
"133","Sweden",-36.2802132409791
"134","Switzerland",-4.3761067739735
"135","USA",-27.1781534469763
